current_co2,previous_co2,difference
776,798,-22
842,776,66
859,842,17
861,859,2
872,861,11
901,872,29
933,901,32
931,933,-2
929,931,-2
550,587,-37
613,550,63
655,613,42
709,655,54
834,709,125
834,834,0
844,834,10
875,844,31
894,875,19
597,620,-23
682,597,85
733,682,51
742,733,9
775,742,33
806,775,31
846,806,40
868,846,22
864,868,-4
572,585,-13
576,572,4
591,576,15
641,591,50
726,641,85
727,726,1
757,727,30
807,757,50
809,807,2
826,809,17
884,826,58
871,884,-13
825,871,-46
836,825,11
828,836,-8
829,828,1
872,829,43
868,872,-4
878,868,10
865,878,-13
881,865,16
871,881,-10
847,871,-24
847,847,0
932,847,85
886,932,-46
885,886,-1
883,885,-2
868,883,-15
523,512,11
593,523,70
658,593,65
757,658,99
862,757,105
918,862,56
907,918,-11
942,907,35
957,942,15
1013,957,56
994,1013,-19
1045,994,51
1040,1045,-5
1062,1040,22
